,Tweet_id,Retweet_count,Favorite_count,Jpg_url,img_num,p1_conf,p2_conf,p3_conf,p1_dog,p2_dog,p3_dog,Types_dog,Dog,Timestamp,Text,Expanded_urls,Rating_numerator,Rating_denominator,Name,Name_type,Type
0,8.924206435553362e+17,8853.0,39467.0,,,,,,,,,,,,,,,,,,
1,8.921774213063434e+17,6514.0,33819.0,,,,,,,,,,,,,,,,,,
2,8.918151813780849e+17,4328.0,25461.0,,,,,,,,,,,,,,,,,,
3,8.916895572798587e+17,8964.0,42908.0,,,,,,,,,,,,,,,,,,
4,8.913275589266883e+17,9774.0,41048.0,,,,,,,,,,,,,,,,,,
5,8.910879508758979e+17,3261.0,20562.0,,,,,,,,,,,,,,,,,,
6,8.909719131739914e+17,2158.0,12041.0,,,,,,,,,,,,,,,,,,
7,8.907291814112379e+17,16716.0,56848.0,,,,,,,,,,,,,,,,,,
8,8.906091851503124e+17,4429.0,28226.0,,,,,,,,,,,,,,,,,,
9,8.902402553491988e+17,7711.0,32467.0,,,,,,,,,,,,,,,,,,
10,8.900066081131725e+17,7624.0,31166.0,,,,,,,,,,,,,,,,,,
11,8.898808964798669e+17,5156.0,28268.0,,,,,,,,,,,,,,,,,,
12,8.896653883336827e+17,8538.0,38818.0,,,,,,,,,,,,,,,,,,
13,8.896388375799071e+17,4735.0,27672.0,,,,,,,,,,,,,,,,,,
14,8.895311353442099e+17,2321.0,15359.0,,,,,,,,,,,,,,,,,,
15,8.892788419816858e+17,5637.0,25652.0,,,,,,,,,,,,,,,,,,
16,8.889172381238313e+17,4709.0,29611.0,,,,,,,,,,,,,,,,,,
17,8.888049891996713e+17,4559.0,26080.0,,,,,,,,,,,,,,,,,,
18,8.885549627242783e+17,3732.0,20290.0,,,,,,,,,,,,,,,,,,
19,8.880784344585871e+17,3653.0,22201.0,,,,,,,,,,,,,,,,,,
20,8.877052893818266e+17,5609.0,30779.0,,,,,,,,,,,,,,,,,,
21,8.875171391580938e+17,12082.0,46959.0,,,,,,,,,,,,,,,,,,
22,8.874739571039519e+17,18781.0,69871.0,,,,,,,,,,,,,,,,,,
23,8.873432170453688e+17,10737.0,34222.0,,,,,,,,,,,,,,,,,,
24,8.871013928040858e+17,6167.0,31061.0,,,,,,,,,,,,,,,,,,
25,8.869832335225446e+17,8084.0,35859.0,,,,,,,,,,,,,,,,,,
26,8.867368805193196e+17,3443.0,12306.0,,,,,,,,,,,,,,,,,,
27,8.866803364779336e+17,4610.0,22798.0,,,,,,,,,,,,,,,,,,
28,8.863661447344456e+17,3316.0,21524.0,,,,,,,,,,,,,,,,,,
29,8.862670092850176e+17,4.0,117.0,,,,,,,,,,,,,,,,,,
30,8.862583841518879e+17,6523.0,28469.0,,,,,,,,,,,,,,,,,,
31,8.860541600590725e+17,108.0,0.0,,,,,,,,,,,,,,,,,,
32,8.859848000199475e+17,7097.0,33382.0,,,,,,,,,,,,,,,,,,
33,8.855289432054702e+17,6683.0,36689.0,,,,,,,,,,,,,,,,,,
34,8.855189715287204e+17,3899.0,20788.0,,,,,,,,,,,,,,,,,,
35,8.853115929126093e+17,19297.0,0.0,,,,,,,,,,,,,,,,,,
36,8.851676198836388e+17,4556.0,22367.0,,,,,,,,,,,,,,,,,,
37,8.849255217417093e+17,16439.0,68152.0,,,,,,,,,,,,,,,,,,
38,8.848767533904896e+17,6096.0,28514.0,,,,,,,,,,,,,,,,,,
39,8.845628921456886e+17,5100.0,24765.0,,,,,,,,,,,,,,,,,,
40,8.844418053827174e+17,5856.0,27478.0,,,,,,,,,,,,,,,,,,
41,8.842478788514939e+17,21298.0,74423.0,,,,,,,,,,,,,,,,,,
42,8.841626705843773e+17,3128.0,20771.0,,,,,,,,,,,,,,,,,,
43,8.838381229366313e+17,3586.0,22349.0,,,,,,,,,,,,,,,,,,
44,8.834828469330043e+17,10407.0,46860.0,,,,,,,,,,,,,,,,,,
45,8.833606908992184e+17,3825.0,22986.0,,,,,,,,,,,,,,,,,,
46,8.831178360460861e+17,6949.0,37914.0,,,,,,,,,,,,,,,,,,
47,8.829920803642204e+17,4122.0,24445.0,,,,,,,,,,,,,,,,,,
48,8.827626945117348e+17,5134.0,28903.0,,,,,,,,,,,,,,,,,,
49,8.826272703216026e+17,6342.0,28382.0,,,,,,,,,,,,,,,,,,
50,8.822681101993697e+17,12118.0,45880.0,,,,,,,,,,,,,,,,,,
51,8.820458700359188e+17,5203.0,29900.0,,,,,,,,,,,,,,,,,,
52,8.81906580714922e+17,3533.0,24773.0,,,,,,,,,,,,,,,,,,
53,8.816665953445356e+17,11099.0,51522.0,,,,,,,,,,,,,,,,,,
54,8.81633300179243e+17,7.0,129.0,,,,,,,,,,,,,,,,,,
55,8.815360043808727e+17,16570.0,50199.0,,,,,,,,,,,,,,,,,,
56,8.812684441964626e+17,5358.0,23501.0,,,,,,,,,,,,,,,,,,
57,8.809357628999885e+17,2886.0,17346.0,,,,,,,,,,,,,,,,,,
58,8.808724488157716e+17,3989.0,21734.0,,,,,,,,,,,,,,,,,,
59,8.804658323668132e+17,6546.0,29075.0,,,,,,,,,,,,,,,,,,
60,8.80221127280382e+17,4436.0,27640.0,,,,,,,,,,,,,,,,,,
61,8.800957828708966e+17,4533.0,28150.0,,,,,,,,,,,,,,,,,,
62,8.798624647159276e+17,3642.0,22667.0,,,,,,,,,,,,,,,,,,
63,8.79674319642796e+17,10.0,315.0,,,,,,,,,,,,,,,,,,
64,8.794920405176156e+17,3323.0,23822.0,,,,,,,,,,,,,,,,,,
65,8.794158184251843e+17,45849.0,107956.0,,,,,,,,,,,,,,,,,,
66,8.793764925678551e+17,3261.0,17099.0,,,,,,,,,,,,,,,,,,
67,8.791305795764756e+17,7181.0,0.0,,,,,,,,,,,,,,,,,,
68,8.790507492626555e+17,4941.0,23022.0,,,,,,,,,,,,,,,,,,
69,8.790082295310295e+17,2812.0,19317.0,,,,,,,,,,,,,,,,,,
70,8.787760934230876e+17,4319.0,19763.0,,,,,,,,,,,,,,,,,,
71,8.786047072117268e+17,7582.0,30931.0,,,,,,,,,,,,,,,,,,
72,8.78404777348137e+17,1349.0,0.0,,,,,,,,,,,,,,,,,,
73,8.78316110768087e+17,6965.0,0.0,,,,,,,,,,,,,,,,,,
74,8.782815110064783e+17,1349.0,7913.0,,,,,,,,,,,,,,,,,,
75,8.780576130401157e+17,7181.0,42876.0,,,,,,,,,,,,,,,,,,
76,8.777364723291914e+17,17300.0,71144.0,,,,,,,,,,,,,,,,,,
77,8.776111728322273e+17,83.0,0.0,,,,,,,,,,,,,,,,,,
78,8.775562467312148e+17,3994.0,23258.0,,,,,,,,,,,,,,,,,,
79,8.77316821321429e+17,5414.0,27907.0,,,,,,,,,,,,,,,,,,
80,8.772018374259261e+17,5880.0,27755.0,,,,,,,,,,,,,,,,,,
81,8.768381206285394e+17,3506.0,21125.0,,,,,,,,,,,,,,,,,,
